id,aspect_ratio,energy,orientation,overhang,status,wwr,glass_id,request_id,slave_id
214470,1,110,0,45,completed,0.2,106,10,2
214471,1,129,0,1,completed,0.2,107,10,2
214472,1,126,0,12,completed,0.2,107,10,2
214473,1,122,0,23,completed,0.2,107,10,2
214474,1,120,0,34,completed,0.2,107,10,2
214475,1,118,0,45,completed,0.2,107,10,2
214476,1,113,0,1,completed,0.2,104,10,2
214477,1,112,0,12,completed,0.2,104,10,2
214478,1,111,0,23,completed,0.2,104,10,2
214479,1,111,0,34,completed,0.2,104,10,2
214480,1,110,0,45,completed,0.2,104,10,2
214481,1,124,0,1,completed,0.2,103,10,2
214482,1,122,0,12,completed,0.2,103,10,2
214483,1,119,0,23,completed,0.2,103,10,2
214484,1,117,0,34,completed,0.2,103,10,2
214485,1,115,0,45,completed,0.2,103,10,2
214486,1,126,0,1,completed,0.2,105,10,2
214487,1,123,0,12,completed,0.2,105,10,2
214488,1,120,0,23,completed,0.2,105,10,2
214489,1,118,0,34,completed,0.2,105,10,2
214490,1,116,0,45,completed,0.2,105,10,2
214491,2,113,0,1,completed,0.2,108,10,2
214492,2,113,0,12,completed,0.2,108,10,2
214493,2,112,0,23,completed,0.2,108,10,2
214494,2,111,0,34,completed,0.2,108,10,2
214495,2,111,0,45,completed,0.2,108,10,2
214496,2,112,0,1,completed,0.2,106,10,2
214497,2,112,0,12,completed,0.2,106,10,2
214498,2,111,0,23,completed,0.2,106,10,2
214499,2,111,0,34,completed,0.2,106,10,2
214500,2,110,0,45,completed,0.2,106,10,2
214501,2,130,0,1,completed,0.2,107,10,2
214502,2,126,0,12,completed,0.2,107,10,2
214503,2,123,0,23,completed,0.2,107,10,2
214504,2,121,0,34,completed,0.2,107,10,2
214505,2,119,0,45,completed,0.2,107,10,2
214506,2,114,0,1,completed,0.2,104,10,2
214507,2,113,0,12,completed,0.2,104,10,2
214508,2,112,0,23,completed,0.2,104,10,2
214509,2,111,0,34,completed,0.2,104,10,2
214510,2,111,0,45,completed,0.2,104,10,2
214511,2,125,0,1,completed,0.2,103,10,2
214512,2,122,0,12,completed,0.2,103,10,2
214513,2,120,0,23,completed,0.2,103,10,2
214514,2,118,0,34,completed,0.2,103,10,2
214515,2,116,0,45,completed,0.2,103,10,2
214516,2,126,0,1,completed,0.2,105,10,2
214517,2,123,0,12,completed,0.2,105,10,2
214518,2,121,0,23,completed,0.2,105,10,2
214519,2,119,0,34,completed,0.2,105,10,2
214520,2,117,0,45,completed,0.2,105,10,2
214521,3,115,0,1,completed,0.2,108,10,2
214522,3,114,0,12,completed,0.2,108,10,2
214523,3,113,0,23,completed,0.2,108,10,2
214524,3,112,0,34,completed,0.2,108,10,2
214525,3,112,0,45,completed,0.2,108,10,2
214526,3,114,0,1,completed,0.2,106,10,2
214527,3,113,0,12,completed,0.2,106,10,2
214528,3,112,0,23,completed,0.2,106,10,2
214529,3,112,0,34,completed,0.2,106,10,2
214530,3,111,0,45,completed,0.2,106,10,2
214531,3,133,0,1,completed,0.2,107,10,2
214532,3,129,0,12,completed,0.2,107,10,2
214533,3,125,0,23,completed,0.2,107,10,2
214534,3,123,0,34,completed,0.2,107,10,2
214535,3,121,0,45,completed,0.2,107,10,2
214536,3,115,0,1,completed,0.2,104,10,2
214537,3,114,0,12,completed,0.2,104,10,2
214538,3,113,0,23,completed,0.2,104,10,2
214539,3,113,0,34,completed,0.2,104,10,2
214540,3,112,0,45,completed,0.2,104,10,2
214541,3,127,0,1,completed,0.2,103,10,2
214542,3,124,0,12,completed,0.2,103,10,2
214543,3,121,0,23,completed,0.2,103,10,2
214544,3,119,0,34,completed,0.2,103,10,2
214545,3,118,0,45,completed,0.2,103,10,2
214546,3,129,0,1,completed,0.2,105,10,2
214547,3,125,0,12,completed,0.2,105,10,2
214548,3,122,0,23,completed,0.2,105,10,2
214549,3,121,0,34,completed,0.2,105,10,2
214550,3,109,0,45,completed,0.2,105,10,3
214551,4,105,0,1,completed,0.2,108,10,3
214552,4,105,0,12,completed,0.2,108,10,3
214553,4,105,0,23,completed,0.2,108,10,3
214554,4,104,0,34,completed,0.2,108,10,3
214555,4,104,0,45,completed,0.2,108,10,3
214556,4,105,0,1,completed,0.2,106,10,3
214557,4,104,0,12,completed,0.2,106,10,3
214558,4,104,0,23,completed,0.2,106,10,3
214559,4,104,0,34,completed,0.2,106,10,3
214560,4,103,0,45,completed,0.2,106,10,3
214561,4,116,0,1,completed,0.2,107,10,3
214562,4,115,0,12,completed,0.2,107,10,3
214563,4,114,0,23,completed,0.2,107,10,3
214564,4,112,0,34,completed,0.2,107,10,3
214565,4,111,0,45,completed,0.2,107,10,3
214566,4,105,0,1,completed,0.2,104,10,3
214567,4,105,0,12,completed,0.2,104,10,3
214568,4,105,0,23,completed,0.2,104,10,3
214569,4,104,0,34,completed,0.2,104,10,3
214570,4,104,0,45,completed,0.2,104,10,3
214571,4,112,0,1,completed,0.2,103,10,3
214572,4,111,0,12,completed,0.2,103,10,3
214573,4,110,0,23,completed,0.2,103,10,3
214574,4,109,0,34,completed,0.2,103,10,3
214575,4,108,0,45,completed,0.2,103,10,3
214576,4,115,0,1,completed,0.2,105,10,3
214577,4,114,0,12,completed,0.2,105,10,3
214578,4,113,0,23,completed,0.2,105,10,3
214579,4,111,0,34,completed,0.2,105,10,3
214580,4,110,0,45,completed,0.2,105,10,3
214581,5,106,0,1,completed,0.2,108,10,3
214582,5,106,0,12,completed,0.2,108,10,3
214583,5,105,0,23,completed,0.2,108,10,3
214584,5,105,0,34,completed,0.2,108,10,3
214585,5,105,0,45,completed,0.2,108,10,3
214586,5,105,0,1,completed,0.2,106,10,3
214587,5,105,0,12,completed,0.2,106,10,3
214588,5,105,0,23,completed,0.2,106,10,3
214589,5,105,0,34,completed,0.2,106,10,3
214590,5,104,0,45,completed,0.2,106,10,3
214591,5,117,0,1,completed,0.2,107,10,3
214592,5,116,0,12,completed,0.2,107,10,3
214593,5,115,0,23,completed,0.2,107,10,3
214594,5,114,0,34,completed,0.2,107,10,3
214595,5,112,0,45,completed,0.2,107,10,3
214596,5,106,0,1,completed,0.2,104,10,3
214597,5,106,0,12,completed,0.2,104,10,3
214598,5,105,0,23,completed,0.2,104,10,3
214599,5,105,0,34,completed,0.2,104,10,3
214600,5,105,0,45,completed,0.2,104,10,3
214601,5,113,0,1,completed,0.2,103,10,3
214602,5,112,0,12,completed,0.2,103,10,3
214603,5,111,0,23,completed,0.2,103,10,3
